"","empresa_index","btm_est","btm_lwr","btm_upr","empresa","org_type","org_reference","avg_length","se_btm","naics"
"1",1,0.698892762,0.277777425,1.148680252,"Steel Manufacturers Association","Sector","Across America, EAF steelmaking facilities are clean, modern and sustainable – employing tens of thousands of people with high-tech, high-wage jobs. American ... The Steel Manufacturers Association (SMA) is the North American voice of the electric arc furnace (EAF) steel industry. We are 21st Century Steelmakers who ... AISI serves as the voice of the American steel industry in the public policy arena and advances the case for steel in the marketplace as the preferred material ... FMA provides training programs, exclusive networking events, and market-leading publications and trade shows to help metal fabrication professionals... Designated as a 501(c)6 Business leagues, chambers of commerce, real estate boards, etc, created for the improvement of business conditions. While the Steel Manufacturers Association supports a tariff increase to 50 percent, the Aluminum Association urges reconsideration regarding ... Promoting Steel Steel has many advantages as a construction material. Not only is it strong, durable, and flexible, but also aesthetical. The American Iron and Steel Institute (AISI) is a trade association of North American steel producers. Mission. TO PROVIDE A FORUM FOR THE EXCHANGE OF INFORMATION ON TECHNICAL MATTERS AMONG MEMBER COMPANIES; TO DEVELOP AND SUPPORT PUBLIC POLICY POSITION ...",5801.666667,0.222169088,"31-33"
"2",2,2.58258585,2.155636025,3.04211546,"American Council of Life Insurers","Sector","America Counts on Life Insurers. Life insurers bring stability and predictability to Americans and keep capital flowing in every aspect of the U.S. economy. The American Council of Life Insurers (ACLI) is the leading trade association driving public policy and advocacy on behalf of the life insurance industry. ACLI represents member companies in state, federal and international forums for public policy that supports the industry marketplace and the families that rely ... The American Council of Life Insurers (ACLI) is a national trade association formed in 1976 and headquartered in Washington, DC. The American Council of Life Insurers (ACLI) advocates on behalf of 275 member companies dedicated to providing products and services that promote consumers' ... American Council of Life Insurers (ACLI). See descriptions of various types of insurance and retirement products, as well as online shopping tips. The American Council of Life Insurers (ACLI) is the leading trade association driving public policy and advocacy on behalf of the life insurance ...",4430.222222,0.226142713,"52"
"3",3,2.095684298,1.401400691,2.83697213,"IBM Corporation","Large","For more than a century, IBM has been a global technology innovator, leading advances in AI, automation and hybrid cloud solutions that help businesses ... IBM is the largest industrial research organization in the world, with 19 research facilities across a dozen countries. Website: http://www.ibm.com. External link for IBM ; Industry: IT Services and IT Consulting ; Company size: 10,001+ employees ; Headquarters: Armonk, New York, NY. International Business Machines Corporation, together with its subsidiaries, provides integrated solutions and services in the Americas, Europe, ... International Business Machines Corporation operates as an integrated technology and services company worldwide. Its Cognitive Solutions segment offers ...",6304,0.366217204,"54"
"4",4,3.092292043,2.241693154,4.027954996,"Korea Chamber of Commerce and Industry","Cross","The Korea Chamber of Commerce & Industry 39, Sejongdaero, Jung-gu, Seoul, 04513 Korea Tel: 82-2-6050-3114 Email: international@korcham.net The KCCI is Korea's representative business advocate to the government and National Assembly and acts as a channel of communication between companies and the ... Founded in 1884, KCCI represents over 180,000 businesses, ranging from small enterprises to large corporations. As the oldest business organization in the ... 민관이 실질 협력 정보를 교류하며 글로벌 경제협력과 비즈니스 기회를 모색할 수 있는 플랫폼. Korea Chamber of Commerce and Industry. Government Relations. The KCCI is the oldest and largest business organization in Korea. Chairman : Chairman Roland Idemyr · Address : 11th Floor, Shinil building, 131, Toegye-ro, Jung-gu, Seoul, Korea · Tel : 02-739-1466 Fax : 02-3406-0701 · Email : ... Korean Chamber of Commerce and Industry in the USA. 코참 소개 · 회장 인사말. 온라인 세미나 및 주요 일정. Business Insights. 온라인 세미나 · 코참 주요 일정. The Korea Chamber of Commerce and Industry (KCCI) is a private economic organization that promotes development related to Korea's commerce and industries. The Korea Chamber of Commerce and Industry shall guide and supervise the business and accounting of a chamber of commerce and industry, as prescribed by ... The KCCI mainly engages on policy issues related to carbon taxation, including around the introduction of a carbon tax in Korea and the European Union's Carbon ...",4805,0.455679042,"54"
"5",5,-0.404749428,-1.20730652,0.405956264,"National Renderers Association","Agri","NARA represents its members in public, government and regulatory affairs, and provides services, programs and technical support to the rendering industry. The association represents its members' interests to Congress and federal regulatory agencies, promotes greater use of rendered products, and funds research. Since 1933, the North American Renderers Association has been helping the rendering industry grow and advance as leaders in recycling and sustainability. Mission. CREATE AN ALLIANCE THAT SPEAKS WITH A COLLECTIVE VOICE THAT REPRESENTS THE BEST INTERESTS OF ITS MEMBERS IN PUBLIC, GOVERNMENT AND REGULATORY AFFAIRS, ... Videos · Invisible Industry Episode 11 A Review · Invisible Industry Episode 10 My Why: Benefits of NARA Membership · Rendering: Every Part Has A Purpose. NARA's dedication to advocating for policies that benefit their members and the rendering industry and contribute to the agricultural circular bioeconomy. NARA represents the feedstock suppliers for Biofuels, Feed, Pet Food and Oleochemicals in North America. www.renderingsimposio.com + 1.",2871,0.411546629,"54"
"6",6,1.645475862,1.255977423,2.077720605,"Semiconductor Industry Association","Tech","A growing, globally competitive US semiconductor industry requires a skilled workforce, including highly educated engineers and scientists, well-trained ... The Semiconductor Industry Association (SIA) is a trade association and lobbying group founded in 1977 that represents the United States semiconductor industry. SEMI is the leading microelectronics industry association with programs that help members grow their business and address top challenges worldwide. SIA represents 99 percent of the US semiconductor industry by revenue and nearly two-thirds of non-US chip firms. The 2023 SIA Factbook presents a clear picture of the trends in the U.S. semiconductor industry and global market using data. Download your free copy today! The ... Semiconductor Industry Associations in the different regions closely cooperate with WSTS. In most cases they also hold distribution licenses for WSTS market ... It highlights opportunities for continued growth and innovation across the semiconductor industry and notes current and upcoming challenges.",11208.33333,0.209628363,"54"
"7",7,0.150357251,-0.183687159,0.480066215,"National Milk Producers Federation","Agri","The National Milk Producers Federation (NMPF) develops and carries out policies that advance dairy producers and the cooperatives they own. The National Milk Producers Federation, established in 1916 and based in Arlington, VA, develops and carries out policies that advance the well-being of ... FARM works with dairy producers, cooperatives, processors and industry partners to demonstrate the highest standards on US dairy farms. Visit www.nmpf.org/subscribe to receive our newsletters, articles, publications and more to stay up to date on policy issues affecting U.S. #dairy farmers ... Join us in Phoenix for the 2024 Joint Annual Meeting of the National Dairy Promotion and Research Board (NDB), National Milk Producers Federation (NMPF) and ... National Milk Producers Federation organization profile. Contributions in the 2024 cycle: $279703. Lobbying in 2024: $1795459. Outside Spending in the 2024 ... October 24, 2022 - October 26, 2022 ... The Joint Annual Meeting is the premier opportunity for dairy farmer leaders, cooperative and promotion organization ... Through its constituent 25 cooperative members, NMPF represents two-thirds of the approximately 28,000 commercial dairy farmers in the United ... National Milk Producers Federation. 7002 likes · 2 talking about this. The National Milk Producers Federation, established in 1916 and based in...",9952.6,0.16932484,"11"
"8",8,-1.972173705,-2.929255967,-1.149768913,"Specialty Food Association","Sector","Since 1952, the Specialty Food Association (SFA) has united artisans, purveyors, importers, distributors, and retailers in the world of specialty food! The Specialty Food Association (SFA) is a not-for-profit, membership-based trade association founded in 1952 and currently representing 4,000+ businesses ... The premier catalog of NC Specialty Foods Association members, published by the NC Department of Agriculture. Get your copy today and discover unique food ... The Association is a not-for-profit organization whose members are specialty food artisans, purveyors, importers and entrepreneurs, as well as distributors, ... Proudly non-profit membership org, 4,000+ strong & growing! We host the Fancy Food Show & Winter FancyFaire*. Tap to taste the trends! Specialty Food Association, New York, New York. 27405 likes · 568 talking about this · 492 were here. We are a not-for-profit trade member association... The South Carolina Specialty Food Association (SCSFA) is the only statewide organization dedicated to promoting the best specialty food products available in ... The Specialty Food Association (SFA) is a membership-based trade association founded in 1952 and currently representing 3,500+ businesses. The SFA vision is ... Share your videos with friends, family, and the world.",3901,0.453950779,"42"
"9",9,-0.487992468,-1.487010241,0.454594976,"Bombardier Recreational Products","Other","We are a global leader in the world of powersports vehicles and propulsion systems built on over 80 years of ingenuity and intensive consumer focus. Become an ... BRP Inc. (an abbreviation of Bombardier Recreational Products) is a Canadian manufacturer of snowmobiles, all-terrain vehicles, side by sides, motorcycles, and ... Our Products · Can-Am Off-Road Vehicles · Can-Am On-Road Vehicles · Sea-Doo Watercrafts · Ski-Doo Snowmobiles · LYNX SNOWMOBILES · Evinrude Outboard Engines. BRP Inc., together with its subsidiaries, designs, develops, manufactures, and sells powersports vehicles and marine products in the Mexico, Canada, ... Our distinctive brands are icons in their industry: Ski-Doo and Lynx snowmobiles, Sea-Doo watercraft and pontoons, Can-Am vehicles, ... Its brands include Ski-Doo and Lynx snowmobiles, Sea-Doo watercraft and pontoons, Can-Am on and off-road vehicles, Alumacraft and Quintrex boats ...",4173,0.495307453,"31-33"
"10",10,-0.353226035,-0.753816992,0.052258156,"International Dairy Foods Association","Agri","IDFA advocates on behalf of America's dairy industry to ensure our members have the tools and resources they need to innovate and thrive. Never miss an update:. The International Dairy Foods Association (IDFA), Washington, D.C., represents the nation's dairy manufacturing and marketing industries and their suppliers ... The International Dairy Foods Association (IDFA), Washington, D.C., represents the nation's dairy manufacturing and marketing industry, which supports more ... The International Dairy Federation (IDF) represents the global dairy sector and ensures the best scientific expertise is used to support high quality milk. IDFA may refer to: International Documentary Film Festival Amsterdam, an annual film festival; International Dairy Foods Association, host of one half of ... The International Dairy Foods Association (IDFA), Washington, D.C., represents the nation's dairy manufacturing and marketing industries and suppliers. 󱙶.",6108.6,0.205631415,"31-33"
