"token","poe_prob","id","name_A","name_B"
"A",0.977598856291428,1,NA,NA
"A",0.435954024478539,2,NA,NA
"T",0.523657077276734,3,NA,NA
"A",0.985327527826158,4,NA,NA
"A",0.999999161388333,5,"Association of Global Automakers","U.S. Chamber of Commerce"
"B",0.999374882374665,6,"Cargill","True Source Honey"
"B",0.999941596224489,7,"Herbalife Nutrition","NPES The Association for Suppliers of Printing, Publishing and Converting Technologies"
"A",0.932436506877354,8,"ConAgra Foods","National Pork Producers Council"
"B",0.916873931474626,9,"International Trademark Association","National Beer Wholesalers Association"
"A",0.996393389699953,10,"Citigroup","National Confectioners Association"
"A",0.914893834964959,11,"Association of Global Automakers","Libbey"
"A",0.794297609009425,12,"California Walnut Commission","Northwest Horticultural Council"
"B",0.992138400503342,13,"Association of Global Automakers","National Foreign Trade Council"
"A",0.999999521689737,14,"Association for Affordable Medicine","RSR Corporation"
"A",0.999999794122392,15,"Almond Board of California","Western Growers Association"
"B",0.913287938638378,16,"American Meat Institute","Cheese Importers Association of America"
"B",0.499978798144978,17,"Distilled Spirits Council of the United States","National Confectioners Association"
"A",0.979138637008268,18,"Federal Express Corporation","Home Instead"
"A",0.999876561027409,19,"Air-Conditioning, Heating, and Refrigeration Institute","Myrtle Beach Area Chamber of Commerce"
"A",0.676444553009539,20,"Aso","Libbey"
"A",0.999708477251775,21,"Intel Corporation","Valterra Products"
"A",0.988677747549191,22,"International Federation of Inspection Agencies","Varian Medical Systems, Inc."
"T",0.499517999164827,23,"MACS Worldwide","Steel Manufacturers Association"
"A",0.622451447987017,24,"Council on Safe Transportation of Hazardous Articles","HackerOne"
"B",0.592200929539346,25,"Biowest USA","U.S. Wheat Associates"
"B",0.99995726271421,26,"MARCHO FARMS","Welch Foods"
"A",0.999099966186622,27,"National Milk Producers Federation","Ohio-Canada Business Association"
"A",0.99999995252812,28,"American Feed Industry Association","Nashville Area Chamber of Commerce"
"T",0.50012567703118,29,"American Meat Institute","California Chamber of Commerce"
"A",0.999192630733556,30,"American Automotive Policy Council","California Citrus Mutual"
